2001::,2001:0:ffff:ffff:ffff:ffff:ffff:ffff,6939,Hurricane Electric LLC
2001:4:112::,2001:4:112:ffff:ffff:ffff:ffff:ffff,112,DNS-OARC
2001:200::,2001:200:5ff:ffff:ffff:ffff:ffff:ffff,2500,WIDE Project
2001:200:600::,2001:200:6ff:ffff:ffff:ffff:ffff:ffff,7667,"KDDI R&D Laboratories, INC."
2001:200:700::,2001:200:8ff:ffff:ffff:ffff:ffff:ffff,2500,WIDE Project
2001:200:900::,2001:200:9ff:ffff:ffff:ffff:ffff:ffff,7660,Asia Pacific Advanced Network - Japan
2001:200:a00::,2001:200:dff:ffff:ffff:ffff:ffff:ffff,2500,WIDE Project
2001:200:e00::,2001:200:eff:ffff:ffff:ffff:ffff:ffff,4690,WIDE Project
2001:200:f00::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,2500,WIDE Project
2001:218::,2001:218:2003:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:218:2004::,2001:218:2004:ffff:ffff:ffff:ffff:ffff,18186,FSC NETWORK LTD
2001:218:2005::,2001:218:21ff:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:218:2200::,2001:218:22ff:ffff:ffff:ffff:ffff:ffff,18259,NTT Communications Corporation
2001:218:2300::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,2497,Internet Initiative Japan Inc.
2001:250::,2001:250:1fff:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:2000::,2001:250:2006:ffff:ffff:ffff:ffff:ffff,24355,CERNET2 IX at University of Electronic Science and Technology of China
2001:250:2007::,2001:250:2400:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:2401::,2001:250:2401:ffff:ffff:ffff:ffff:ffff,24356,CERNET2 IX at Chongqing University
2001:250:2402::,2001:250:2bff:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:2c00::,2001:250:2c00:ffff:ffff:ffff:ffff:ffff,138381,China Education and Research Network (CERNET)
2001:250:2c01::,2001:250:2fff:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:3000::,2001:250:3003:ffff:ffff:ffff:ffff:ffff,24357,CERNET2 IX at South China University of Technology
2001:250:3004::,2001:250:33ff:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:3400::,2001:250:3400:ffff:ffff:ffff:ffff:ffff,138438,China Education and Research Network (CERNET)
2001:250:3401::,2001:250:3401:ffff:ffff:ffff:ffff:ffff,138393,China Education and Research Network (CERNET)
2001:250:3402::,2001:250:3bff:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:3c00::,2001:250:3c03:ffff:ffff:ffff:ffff:ffff,138369,China Education and Research Network (CERNET)
2001:250:3c04::,2001:250:600e:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:600f::,2001:250:600f:ffff:ffff:ffff:ffff:ffff,4538,China Education and Research Network Center
2001:250:6010::,2001:250:7400:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:250:7401::,2001:250:7401:ffff:ffff:ffff:ffff:ffff,24371,CERNET2 IX at Jilin University
2001:250:7402::,2001:250:9001:ffff:ffff:ffff:ffff:ffff,23910,China Next Generation Internet CERNET2
2001:252::,2001:252:ffff:ffff:ffff:ffff:ffff:ffff,23911,China Next Generation Internet Beijing IX
2001:253::,2001:253:200:ffff:ffff:ffff:ffff:ffff,38272,China Education and Research Network (CERNET)
2001:253:201::,2001:253:201:ffff:ffff:ffff:ffff:ffff,142067,AS142067-1 - China Education and Research Network (CERNET)
2001:253:202::,2001:253:202:ffff:ffff:ffff:ffff:ffff,142068,AS142068-2 - China Education and Research Network (CERNET)
2001:253:203::,2001:253:203:ffff:ffff:ffff:ffff:ffff,142069,AS142069-3 - China Education and Research Network (CERNET)
2001:253:204::,2001:253:204:ffff:ffff:ffff:ffff:ffff,142070,AS142070-4 - China Education and Research Network (CERNET)
2001:253:205::,2001:253:205:ffff:ffff:ffff:ffff:ffff,142071,AS142071-5 - China Education and Research Network (CERNET)
2001:253:206::,2001:253:206:ffff:ffff:ffff:ffff:ffff,142072,AS142072-6 - China Education and Research Network (CERNET)
2001:253:207::,2001:253:207:ffff:ffff:ffff:ffff:ffff,142073,AS142073-7 - China Education and Research Network (CERNET)
